file,n,body_tag,f1,f2,f3,f4,identity,packed_offset,packed_size,packed_payload_sha1_8
prosim1.xtc,14,0x15,0.8093023300170898,0.5586034655570984,6761.8603515625,5937.88525390625,ID05,6354,1788,5e60877b
prosim1.xtc,15,0x15,1.03125,0.6777609586715698,4304.78125,9198.248046875,ID08,8142,115,b676466c
prosim1.xtc,16,0x15,0.6397058963775635,0.6637036800384521,4873.71337890625,9188.0380859375,ID04,8257,233,64133b13
prosim1.xtc,17,0x15,0.818823516368866,0.5490196347236633,5278.2939453125,9252.1171875,ID03,8490,341,c29009e4
prosim1.xtc,18,0x15,0.8508557677268982,0.6103542447090149,5763.6796875,9243.4609375,ID01,8831,415,ad5da532
prosim1.xtc,19,0x15,0.8074246048927307,0.5699745416641235,6183.56591796875,9264.4931640625,ID02,9246,250,3af9c941
prosim1.xtc,20,0x15,1.0192307233810425,1.0144927501678467,6510.115234375,8974.203125,ID10,9496,89,1e6eb8d5
prosim1.xtc,21,0x15,0.818823516368866,0.5833333134651184,7112.6845703125,9247.4169921875,ID03,9585,309,beb369f9
prosim1.xtc,22,0x15,0.8074246048927307,0.5699745416641235,7533.56591796875,9264.4931640625,ID02,9894,252,0c111bb2
prosim1.xtc,23,0x15,0.8074246048927307,0.5699745416641235,13822.56640625,2510.49365234375,ID02,10146,250,c3f952f9
prosim1.xtc,24,0x15,0.9086161851882935,0.5551425218582153,14238.486328125,2492.62939453125,ID09,10396,324,7c445af5
prosim1.xtc,25,0x15,0.818823516368866,0.5490196347236633,14717.2939453125,2498.11767578125,ID03,10720,341,7fb61c61
prosim1.xtc,26,0x15,0.7750557065010071,0.6170799136161804,15203.8125,2495.735595703125,ID06,11061,378,e747fb70
prosim1.xtc,27,0x15,1.0192307233810425,1.0144927501678467,15499.115234375,2220.202880859375,ID10,11439,89,50416a18
prosim1.xtc,28,0x15,0.9086161851882935,0.5551425218582153,16038.486328125,2492.62939453125,ID09,11528,324,cb5faf44
prosim1.xtc,29,0x15,0.8074246048927307,0.5699745416641235,16522.56640625,2510.49365234375,ID02,11852,250,034eddb7
prosim1.xtc,30,0x15,0.6397058963775635,0.6637036800384521,13705.712890625,3468.03857421875,ID04,12102,233,18f2f044
prosim1.xtc,31,0x15,0.7750557065010071,0.6170799136161804,14146.8125,3529.7353515625,ID06,12335,378,b11fe1e2
prosim1.xtc,32,0x15,0.7750557065010071,0.6170799136161804,14596.8125,3529.7353515625,ID06,12713,378,2f692941
prosim1.xtc,33,0x15,0.8508557677268982,0.6103542447090149,15045.6796875,3523.46044921875,ID01,13091,415,5c2793d8
prosim1.xtc,34,0x15,1.0192307233810425,1.0144927501678467,15342.115234375,3254.203125,ID10,13506,89,c25df64b
